SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,EroCic,GerDis,TriEri,VicSat,Bare,GalPar,MicCal,,
MCLA,1,1,1,1,1,1,2,,,,,,,
MCLA,1,1,2,2,1,2,1,,,,,,,
MCLA,1,1,3,3,1,2,1,,3,,,,,
MCLA,1,1,4,4,1,2,1,,,,,,,
MCLA,1,1,5,5,1,2,1,,,,,,,
MCLA,1,1,6,6,1,2,1,,,,,,,
MCLA,1,1,7,7,1,1,2,,,20,1,1,,
MCLA,1,1,8,8,1,2,1,,,10,,,,
MCLA,1,1,9,1,2,1,1,,2,,,,,
MCLA,1,1,10,2,2,1,1,,3,,,,,
MCLA,1,1,11,3,2,1,2,,4,,,,,
MCLA,1,1,12,4,2,1,1,,3,,,,,
MCLA,1,1,13,5,2,1,1,,2,,,,,
MCLA,1,1,14,6,2,3,1,,,,,,,
MCLA,1,1,15,7,2,2,1,,,10,1,,,
MCLA,1,1,16,8,2,2,1,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,EroCic,GerDis,VicSat,Bare,GalPar,LupBic,,,
MCLA,1,1,1,1,3,2,2,2,,,,,,
MCLA,1,1,2,2,3,1,1,2,,,,,,
MCLA,1,1,3,3,3,,2,3,,2,,,,
MCLA,1,1,4,4,3,1,2,3,,,,,,
MCLA,1,1,5,5,3,1,1,3,,,1,,,
MCLA,1,1,6,6,3,1,1,2,,,,,,
MCLA,1,1,7,7,3,3,1,,,1,,,,
MCLA,1,1,8,8,3,2,,,,1,,,,
MCLA,1,1,9,1,4,1,,2,,,1,,,
MCLA,1,1,10,2,4,2,1,4,7,,,,,
MCLA,1,1,11,3,4,,1,6,,,,,,
MCLA,1,1,12,4,4,,1,6,5,,,,,
MCLA,1,1,13,5,4,,2,5,,,1,,,
MCLA,1,1,14,6,4,2,1,2,,,,,,
MCLA,1,1,15,7,4,,1,2,,,,,,
MCLA,1,1,16,8,4,2,,2,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,EroCic,GerDis,LupBic,VicSat,Bare,GalPar,,,
MCLA,1,1,1,1,5,,1,,2,,,,,
MCLA,1,1,2,2,5,,1,,3,,,,,
MCLA,1,1,3,3,5,1,1,,5,,,,,
MCLA,1,1,4,4,5,,2,,5,7,,,,
MCLA,1,1,5,5,5,2,2,,4,,,,,
MCLA,1,1,6,6,5,1,,,4,,,,,
MCLA,1,1,7,7,5,,,,3,,,,,
MCLA,1,1,8,8,5,2,,1,2,,,,,
MCLA,1,1,9,1,6,,,,3,,,,,
MCLA,1,1,10,2,6,1,1,,4,,,,,
MCLA,1,1,11,3,6,2,,,3,,,,,
MCLA,1,1,12,4,6,2,,,4,,,,,
MCLA,1,1,13,5,6,2,1,,5,,,,,
MCLA,1,1,14,6,6,1,,,4,,,,,
MCLA,1,1,15,7,6,,,,4,,,,,
MCLA,1,1,16,8,6,2,,,3,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,EroCic,GerDis,VicSat,Bare,LupBic,,,,
MCLA,1,1,1,1,7,,,4,,,,,,
MCLA,1,1,2,2,7,,,3,,,,,,
MCLA,1,1,3,3,7,2,,3,,,,,,
MCLA,1,1,4,4,7,2,,3,,,,,,
MCLA,1,1,5,5,7,1,,5,,,,,,
MCLA,1,1,6,6,7,1,,4,,,,,,
MCLA,1,1,7,7,7,,1,5,,,,,,
MCLA,1,1,8,8,7,,,3,,1,,,,
MCLA,1,1,9,1,8,,,5,,,,,,
MCLA,1,1,10,2,8,,,3,,,,,,
MCLA,1,1,11,3,8,2,,3,,,,,,
MCLA,1,1,12,4,8,1,,4,,1,,,,
MCLA,1,1,13,5,8,,,5,,,,,,
MCLA,1,1,14,6,8,,,3,,,,,,
MCLA,1,1,15,7,8,1,,3,,2,,,,
MCLA,1,1,16,8,8,2,,3,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,EroCic,GerDis,VicSat,LupBic,Bare,GalPar,,,
MCLA,1,2,1,1,1,,,,,10,1,,,
MCLA,1,2,2,2,1,,,,,3,1,,,
MCLA,1,2,3,3,1,2,,,2,,1,,,
MCLA,1,2,4,4,1,3,,,2,20,,,,
MCLA,1,2,5,5,1,1,,,,,,,,
MCLA,1,2,6,6,1,3,,,,,,,,
MCLA,1,2,7,7,1,2,,,2,20,,,,
MCLA,1,2,8,8,1,2,,,2,20,1,,,
MCLA,1,2,9,1,2,1,,,,30,1,,,
MCLA,1,2,10,2,2,2,,,,15,,,,
MCLA,1,2,11,3,2,2,,,1,,,,,
MCLA,1,2,12,4,2,2,,,1,,,,,
MCLA,1,2,13,5,2,3,,,1,,,,,
MCLA,1,2,14,6,2,4,,,,30,,,,
MCLA,1,2,15,7,2,3,,,,20,1,,,
MCLA,1,2,16,8,2,3,,,,30,2,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,EroCic,GerDis,VicSat,Bare,LupBic,GalPar,TriEri,,
MCLA,1,2,1,1,3,,,,,,1,,,
MCLA,1,2,2,2,3,2,,,,,,,,
MCLA,1,2,3,3,3,2,,,7,,,,,
MCLA,1,2,4,4,3,2,2,,,,1,,,
MCLA,1,2,5,5,3,3,,,,,1,1,,
MCLA,1,2,6,6,3,3,,,10,,1,,,
MCLA,1,2,7,7,3,,,,3,,1,,,
MCLA,1,2,8,8,3,,,,,,,,,
MCLA,1,2,9,1,4,,1,,,,,,,
MCLA,1,2,10,2,4,2,,,10,,,,,
